"date","iso_4217","value"
"1984-03-20","CAD",36.03
"1984-03-27","CAD",35.83
"1984-04-03","CAD",35.83
"1984-04-10","CAD",35.83
"1984-04-17","CAD",35.83
"1984-04-24","CAD",35.83
"1984-05-01","CAD",36.04
"1984-05-08","CAD",35.86
"1984-05-15","CAD",35.86
"1984-05-22","CAD",35.86
"1984-05-29","CAD",35.86
"1984-06-05","CAD",35.58
"1984-06-12","CAD",35.58
"1984-06-19","CAD",35.58
"1984-06-26","CAD",37.59
"1984-07-03","CAD",37.24
"1984-07-10","CAD",37.24
"1984-07-17","CAD",37.24
"1984-07-24","CAD",37.24
"1984-07-31","CAD",37.7
"1984-08-07","CAD",37.7
"1984-08-14","CAD",37.95
"1984-08-21","CAD",37.95
"1984-08-28","CAD",37.95
"1984-09-04","CAD",38.32
"1984-09-11","CAD",38.32
"1984-09-18","CAD",38.32
"1984-09-25","CAD",38.32
"1984-10-02","CAD",38.32
"1984-10-09","CAD",38.32
"1984-10-16","CAD",38.55
"1984-10-23","CAD",38.32
"1984-10-30","CAD",38.32
"1984-11-06","CAD",38.13
"1984-11-13","CAD",38.13
"1984-11-20","CAD",38.13
"1984-11-27","CAD",38.13
"1984-12-04","CAD",38.43
"1984-12-11","CAD",38.43
"1984-12-18","CAD",38.43
"1984-12-25","CAD",38.69
"1984-12-31","CAD",38.75
"1985-01-03","CAD",38.77
"1985-01-04","CAD",38.83
"1985-01-05","CAD",38.85
"1985-01-08","CAD",38.84
"1985-01-09","CAD",38.79
"1985-01-10","CAD",38.87
"1985-01-11","CAD",38.82
"1985-01-12","CAD",38.81
"1985-01-15","CAD",38.85
"1985-01-16","CAD",38.87
"1985-01-17","CAD",38.81
"1985-01-18","CAD",38.83
"1985-01-19","CAD",38.74
"1985-01-22","CAD",38.83
"1985-01-23","CAD",38.85
"1985-01-24","CAD",38.8
"1985-01-25","CAD",38.8
"1985-01-26","CAD",38.75
"1985-01-29","CAD",38.77
"1985-01-30","CAD",38.71
"1985-01-31","CAD",38.73
"1985-02-01","CAD",38.67
"1985-02-02","CAD",38.71
"1985-02-05","CAD",38.75
"1985-02-06","CAD",38.71
"1985-02-07","CAD",38.72
"1985-02-08","CAD",38.72
"1985-02-09","CAD",38.75
"1985-02-12","CAD",38.8
"1985-02-13","CAD",38.81
"1985-02-14","CAD",38.81
"1985-02-15","CAD",38.83
"1985-02-16","CAD",38.76
"1985-02-19","CAD",38.76
"1985-02-20","CAD",38.84
"1985-02-21","CAD",38.65
"1985-02-22","CAD",38.42
"1985-02-23","CAD",38.17
"1985-02-26","CAD",37.85
"1985-02-27","CAD",37.77
"1985-02-28","CAD",37.73
"1985-03-01","CAD",37.98
"1985-03-02","CAD",37.8
"1985-03-05","CAD",37.65
"1985-03-06","CAD",37.74
"1985-03-07","CAD",37.62
"1985-03-08","CAD",37.58
"1985-03-09","CAD",37.71
"1985-03-12","CAD",37.63
"1985-03-13","CAD",37.8
"1985-03-14","CAD",37.68
"1985-03-15","CAD",37.79
"1985-03-16","CAD",37.89
"1985-03-19","CAD",37.92
"1985-03-20","CAD",37.86
"1985-03-21","CAD",37.7
"1985-03-22","CAD",37.82
"1985-03-23","CAD",37.68
"1985-03-26","CAD",37.55
"1985-03-27","CAD",37.5
"1985-03-28","CAD",37.54
"1985-03-29","CAD",37.39
"1985-03-30","CAD",37.23
"1985-04-02","CAD",37.34
"1985-04-03","CAD",37.33
"1985-04-04","CAD",37.27
"1985-04-10","CAD",37.37
"1985-04-11","CAD",37.31
"1985-04-12","CAD",37.22
"1985-04-13","CAD",37.23
"1985-04-16","CAD",37.23
"1985-04-17","CAD",37.14
"1985-04-18","CAD",37.22
"1985-04-19","CAD",37.36
"1985-04-20","CAD",37.22
"1985-04-23","CAD",37.33
"1985-04-24","CAD",37.34
"1985-04-25","CAD",37.45
"1985-04-26","CAD",37.39
"1985-04-27","CAD",37.53
"1985-04-30","CAD",37.41
"1985-05-01","CAD",37.33
"1985-05-03","CAD",37.47
"1985-05-04","CAD",37.4
"1985-05-07","CAD",37.4
"1985-05-08","CAD",37.32
"1985-05-09","CAD",37.27
"1985-05-10","CAD",37.15
"1985-05-11","CAD",37.08
"1985-05-14","CAD",37.06
"1985-05-15","CAD",36.98
"1985-05-16","CAD",36.99
"1985-05-18","CAD",37.13
"1985-05-21","CAD",37
"1985-05-23","CAD",37.14
"1985-05-24","CAD",37.18
"1985-05-25","CAD",37.05
"1985-05-29","CAD",37.1
"1985-05-30","CAD",36.95
"1985-05-31","CAD",36.86
"1985-06-01","CAD",36.92
"1985-06-04","CAD",36.96
"1985-06-05","CAD",37.04
"1985-06-06","CAD",37.09
"1985-06-07","CAD",37.07
"1985-06-08","CAD",37.07
"1985-06-11","CAD",37.13
"1985-06-12","CAD",37.15
"1985-06-13","CAD",37.22
"1985-06-14","CAD",37.22
"1985-06-15","CAD",37.16
"1985-06-18","CAD",37.16
"1985-06-19","CAD",37
"1985-06-20","CAD",37.05
"1985-06-21","CAD",37.1
"1985-06-22","CAD",37.28
"1985-06-25","CAD",37.25
"1985-06-26","CAD",37.26
"1985-06-27","CAD",37.23
"1985-06-28","CAD",37.2
"1985-06-29","CAD",37.21
"1985-07-02","CAD",37.27
"1985-07-03","CAD",37.33
"1985-07-04","CAD",37.32
"1985-07-05","CAD",37.26
"1985-07-06","CAD",37.26
"1985-07-09","CAD",37.18
"1985-07-10","CAD",37.12
"1985-07-11","CAD",37.02
"1985-07-12","CAD",36.99
"1985-07-13","CAD",36.84
"1985-07-16","CAD",36.81
"1985-07-17","CAD",36.88
"1985-07-18","CAD",36.76
"1985-07-19","CAD",36.75
"1985-07-20","CAD",36.89
"1985-07-23","CAD",36.91
"1985-07-24","CAD",36.86
"1985-07-25","CAD",36.8
"1985-07-26","CAD",36.8
"1985-07-27","CAD",36.81
"1985-07-30","CAD",36.65
"1985-07-31","CAD",36.64
"1985-08-01","CAD",36.43
"1985-08-02","CAD",36.46
"1985-08-03","CAD",36.61
"1985-08-06","CAD",36.55
"1985-08-07","CAD",36.58
"1985-08-08","CAD",36.57
"1985-08-09","CAD",36.38
"1985-08-10","CAD",36.46
"1985-08-13","CAD",36.35
"1985-08-14","CAD",36.29
"1985-08-15","CAD",36.32
"1985-08-16","CAD",36.26
"1985-08-17","CAD",36.29
"1985-08-22","CAD",36.28
"1985-08-23","CAD",36.24
"1985-08-24","CAD",36.26
"1985-08-27","CAD",36.26
"1985-08-28","CAD",36.19
"1985-08-29","CAD",36.14
"1985-08-30","CAD",36.12
"1985-08-31","CAD",36.12
"1985-09-03","CAD",36.14
"1985-09-04","CAD",36.14
"1985-09-05","CAD",36.25
"1985-09-06","CAD",36.29
"1985-09-07","CAD",36.41
