date,value
2000-06-15,-14.661681909324841
2000-06-16,-11.285375717513546
2000-06-19,-16.3064571420814
2000-06-20,-13.590150950270129
2000-06-21,-10.703844758458786
2000-06-22,-10.017538566647488
2000-06-23,-6.931232374836156
2000-06-26,-4.76231379940225
2000-06-27,-9.686007607590966
2000-06-28,-9.289701415781451
2000-06-29,-7.413395223970156
2000-06-30,-13.637089032158826
2000-07-03,-10.038170456724913
2000-07-04,-9.541864264913613
2000-07-05,-11.915558073102318
2000-07-06,-14.059251881291004
2000-07-07,-11.742945689479654
2000-07-10,-9.294027114047594
2000-07-11,-11.587720922236258
2000-07-12,-9.90141473042496
2000-07-13,-6.995108538613636
2000-07-14,-7.198802346802324
2000-07-17,-9.919883771368404
2000-07-18,-8.973577579558935
2000-07-19,-2.227271387747578
2000-07-20,-2.0209651959362986
2000-07-21,-2.664659004124985
2000-07-24,-1.4157404286910378
2000-07-25,-3.669434236879738
2000-07-26,-5.123128045068427
2000-07-27,-4.436821853257129
2000-07-28,-0.6505156614458087
2000-07-31,-2.2715970860137418
2000-08-01,-3.125290894202408
2000-08-02,-0.7289847023910738
2000-08-03,3.177321489420194
2000-08-04,5.333627681231519
2000-08-07,8.022546256665464
2000-08-08,9.978852448474925
2000-08-09,12.055158640286265
2000-08-10,7.731464832097572
2000-08-11,4.837771023908886
2000-08-14,9.916689599342817
2000-08-15,7.642995791154078
2000-08-16,6.809301982965394
2000-08-17,3.2356081747767007
2000-08-18,1.7319143665861816
2000-08-21,5.520832942020149
2000-08-22,6.467139133831438
2000-08-23,6.593445325642733
2000-08-24,3.7797515174540877
2000-08-25,2.496057709265358
2000-08-28,0.53497628469745
2000-08-29,-0.03871752349118651
2000-08-30,0.027588668320106535
2000-08-31,0.2838948601313973
2000-09-01,1.9102010519426926
2000-09-04,-1.1208803726233327
2000-09-05,0.4654258191879421
2000-09-06,5.15173201099924
2000-09-07,8.368038202808748
2000-09-08,3.0543443946200455
2000-09-11,4.633262970053977
2000-09-12,0.7795691618653109
2000-09-13,1.2358753536765903
2000-09-14,1.2621815454879197
2000-09-15,0.9484877372992173
2000-09-18,2.6474063127313343
2000-09-19,5.933712504542655
2000-09-20,12.490018696353957
2000-09-21,11.276324888165277
2000-09-22,16.29263107997656
2000-09-25,10.741549655410495
2000-09-26,11.167855847221801
2000-09-27,9.564162039031316
2000-09-28,11.900468230842591
2000-09-29,13.59677442265388
2000-10-02,15.41569299808782
2000-10-03,13.671999189899168
2000-10-04,11.428305381710459
2000-10-05,12.47461157352177
2000-10-06,10.700917765333088
2000-10-09,11.649836340765205
2000-10-10,12.586142532576503
2000-10-11,12.442448724387816
2000-10-12,17.27875491619909
2000-10-13,24.09506110801044
2000-10-16,20.893979683444343
2000-10-17,20.740285875253846
2000-10-18,19.416592067065153
